order_id,phone,city,status,eta_days,created_at
ORD-XAJI0Y6D,+216 74 132 130,Tunis,awaiting_lens,1,2026-02-17
ORD-VUZZPQK5,+216 40 814 532,Sousse,ready_for_pickup,1,2026-02-07
ORD-8MDD4V30,+216 88 227 487,Tunis,ready_for_pickup,5,2026-02-28
ORD-NGCX1945,+216 68 384 564,Sousse,awaiting_lens,2,2026-02-12
ORD-HJ7XVG0F,+216 68 376 755,Nabeul,awaiting_lens,2,2026-02-27
ORD-1C32OC6U,+216 60 317 771,Ariana,shipped_to_store,3,2026-02-05
ORD-JIUJV6OH,+216 37 621 605,Tunis,processing,0,2026-02-05
ORD-W2PCN9T8,+216 21 796 838,Tunis,ready_for_pickup,2,2026-02-04
ORD-KFAZZ81S,+216 33 991 740,Sousse,awaiting_lens,1,2026-02-12
ORD-1T2TALA7,+216 59 345 159,Sfax,processing,0,2026-02-24
ORD-RC11ERTJ,+216 97 533 316,Nabeul,awaiting_lens,2,2026-02-13
ORD-9XPSEIMV,+216 49 702 325,Tunis,processing,0,2026-02-08
ORD-CBLSKRT0,+216 93 690 584,Sfax,shipped_to_store,3,2026-02-07
ORD-DXMO5BXX,+216 27 512 845,Sousse,processing,1,2026-02-07
ORD-GQPKI7P5,+216 90 200 151,Nabeul,processing,0,2026-02-25
ORD-4FRHOCN9,+216 53 902 903,Ariana,ready_for_pickup,3,2026-02-23
ORD-89UZFK8U,+216 89 162 865,Sousse,processing,0,2026-02-19
ORD-R7TCS4CC,+216 50 513 222,Nabeul,awaiting_lens,5,2026-02-20
ORD-BCXULJYL,+216 53 505 234,Sousse,shipped_to_store,2,2026-02-25
ORD-7AWUDTSE,+216 64 170 350,Sousse,ready_for_pickup,1,2026-02-15
ORD-4ZW9XA3K,+216 33 999 237,Sousse,processing,0,2026-02-24
ORD-TJVZHWJR,+216 26 194 749,Ariana,ready_for_pickup,0,2026-02-01
ORD-ME9FPZUE,+216 39 658 136,Sousse,awaiting_lens,3,2026-02-05
ORD-BN78BMYY,+216 65 898 673,Ariana,awaiting_lens,1,2026-02-28
ORD-F2GOG72O,+216 51 373 263,Tunis,shipped_to_store,0,2026-02-28
ORD-QH7M35IX,+216 71 436 385,Tunis,ready_for_pickup,2,2026-02-21
